Date,Name,Category,Type,Amount
"January 1, 2024",Quỹ team,Other,Phát sinh (Nice to have),"200,000"
"January 1, 2024",An cua,Thực phẩm,Phát sinh (Nice to have),"762,000"
"January 1, 2024",Tiền gift Danny,Mua sắm,Phát sinh (Nice to have),"745,000"
"January 1, 2024",Sữa Ensure,Sức khoẻ,Phát sinh (Nice to have),"927,000"
"January 1, 2024",Hummingbird,Cà phê,Phát sinh (Nice to have),"140,000"
"January 1, 2024",Vé máy bay tết,Đi lại,Phải chi (Must have),"2,261,000"
"January 1, 2024",Ăn sáng bún bò,Thực phẩm,Phải chi (Must have),"50,000"
"January 1, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"400,000"
"January 1, 2024",Netflix,Hoá đơn - Thanh toán định kì,Phải chi (Must have),"53,000"
"January 1, 2024",3G,Giải trí,Phát sinh (Nice to have),"3,000"
"January 2, 2024",Ăn bánh xèo,Thực phẩm,Phát sinh (Nice to have),"288,000"
"January 2, 2024",Sách tiki,Giáo dục,Phải chi (Must have),"173,000"
"January 2, 2024",Lotte,Mua sắm,Phát sinh (Nice to have),"350,000"
"January 2, 2024",Thuốc pharma,Sức khoẻ,Phát sinh (Nice to have),"220,000"
"January 2, 2024",Bàn chải đánh răng,Sức khoẻ,Phải chi (Must have),"150,000"
"January 3, 2024",Nước,Thực phẩm,Phải chi (Must have),"65,000"
"January 4, 2024",Tiền nhà,Hoá đơn - Thanh toán định kì,Phải chi (Must have),"4,870,000"
"January 4, 2024",Cà phê,Cà phê,Lãng phí (Wasted),"58,000"
"January 4, 2024",Lotte,Mua sắm,Phát sinh (Nice to have),"369,000"
"January 5, 2024",Pin remote máy lạnh,Mua sắm,Phát sinh (Nice to have),"18,000"
"January 6, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"166,000"
"January 6, 2024",Internet,Hoá đơn - Thanh toán định kì,Phải chi (Must have),"240,000"
"January 6, 2024",Nạp tiền điện thoại,Other,Phát sinh (Nice to have),"50,000"
"January 6, 2024",Bánh mì,Thực phẩm,Phát sinh (Nice to have),"20,000"
"January 7, 2024",Cà phê Shin - Khe sanh,Cà phê,Phải chi (Must have),"220,000"
"January 7, 2024",Cà phê gói trung nguyên,Mua sắm,Phát sinh (Nice to have),"75,000"
"January 5, 2024",Ăn trưa,Thực phẩm,Phải chi (Must have),"42,000"
"January 8, 2024",Ăn tối,Thực phẩm,Phải chi (Must have),"68,000"
"January 9, 2024",Nước,Thực phẩm,Phải chi (Must have),"65,000"
"January 9, 2024",Giấy lọc cà phê,Cà phê,Phải chi (Must have),"152,000"
"January 10, 2024",Cà phê,Cà phê,Phát sinh (Nice to have),"29,000"
"January 10, 2024",Cơm gà,Thực phẩm,Phải chi (Must have),"45,000"
"January 10, 2024",Hớt tóc,Sức khoẻ,Phải chi (Must have),"70,000"
"January 10, 2024",Bún bò,Thực phẩm,Phải chi (Must have),"40,000"
"January 11, 2024",Cà phê,Cà phê,Phát sinh (Nice to have),"29,000"
"January 11, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"33,000"
"January 11, 2024",Đổ xăng,Đi lại,Phải chi (Must have),"50,000"
"January 11, 2024",Bánh cuốn tây sơn,Thực phẩm,Phải chi (Must have),"69,000"
"January 12, 2024",Cà phê,Cà phê,Phát sinh (Nice to have),"48,000"
"January 13, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"23,000"
"January 13, 2024",Đổ xăng,Đi lại,Phải chi (Must have),"50,000"
"January 15, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"33,000"
"January 15, 2024",Cà phê,Cà phê,Phát sinh (Nice to have),"48,000"
"January 15, 2024",Trả tín dụng,Hoá đơn - Thanh toán định kì,Phải chi (Must have),"6,154,000"
