Date,Name,Category,Type,Amount,Notes,Created,January,February,March,April,May,June,July,August,September,October,November,December
"January 1, 2024",Quỹ team,Other (https://www.notion.so/Other-a986c0546fd64d92af8b5fdf74a9f1c4?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),200000,,"January 1, 2024 7:51 AM",200000,0,0,0,0,0,0,0,0,0,0,0
"January 1, 2024",An cua,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),762000,,"January 1, 2024 7:51 AM",762000,0,0,0,0,0,0,0,0,0,0,0
"January 1, 2024",Tiền gift Danny,Mua sắm (https://www.notion.so/Mua-s-m-d4dae4175a014e4ca1ec27da23dd373b?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),745000,"Gân bò, cơm cháy","January 1, 2024 7:51 AM",745000,0,0,0,0,0,0,0,0,0,0,0
"January 1, 2024",Sữa Ensure,Sức khoẻ (https://www.notion.so/S-c-kho-e0597c901e1948e780fec8fbaba7f052?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),927000,,"January 1, 2024 7:51 AM",927000,0,0,0,0,0,0,0,0,0,0,0
"January 1, 2024",Hummingbird,Cà phê (https://www.notion.so/C-ph-331b55dad1ec48bebb3fcf6dae9e8cc5?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),140000,,"January 1, 2024 7:51 AM",140000,0,0,0,0,0,0,0,0,0,0,0
"January 1, 2024",Vé máy bay tết,Đi lại (https://www.notion.so/i-l-i-90e61bd171bc4d538722d78bea485584?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),2261000,,"January 1, 2024 4:53 PM",2261000,0,0,0,0,0,0,0,0,0,0,0
"January 1, 2024",Ăn sáng bún bò,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),50000,,"January 1, 2024 4:54 PM",50000,0,0,0,0,0,0,0,0,0,0,0
"January 1, 2024",Đi chợ,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),400000,,"January 1, 2024 4:54 PM",400000,0,0,0,0,0,0,0,0,0,0,0
"January 1, 2024",Netflix,Hoá đơn - Thanh toán định kì (https://www.notion.so/Ho-n-Thanh-to-n-nh-k-69e6e15431934b5bb36651c0332101da?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),53000,,"January 1, 2024 6:15 PM",53000,0,0,0,0,0,0,0,0,0,0,0
"January 1, 2024",3G,Giải trí (https://www.notion.so/Gi-i-tr-a2c19c813ed640deabf3fecf04dfafe0?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),3000,,"January 1, 2024 6:15 PM",3000,0,0,0,0,0,0,0,0,0,0,0
